name,corpus_source,language,n_tokens,s_obs,k_star,S_hat_kstar,S_hat_cm,diff
bnc__PS1FC,bnc,English,36869,2643,6,2397.0,2397.0,0.0
bnc__PS0JA,bnc,English,21414,1879,5,1707.0,1707.0,0.0
bnc__PS065,bnc,English,15351,2013,5,1898.0,1898.0,0.0
bnc__PS0F8,bnc,English,14084,1658,5,1537.0,1537.0,0.0
bnc__PS066,bnc,English,10789,1403,5,1306.0,1306.0,0.0
bnc__PS1FE,bnc,English,10587,1412,5,1311.0,1311.0,0.0
bnc__PS1F1,bnc,English,9922,1360,5,1276.0,1276.0,0.0
bnc__PS0FA,bnc,English,9778,1434,5,1333.0,1333.0,0.0
imsdb__jfk__jim,imsdb,English,9529,2118,8,2041.0,2041.0,0.0
imsdb__withnail_and_i__i,imsdb,English,9440,1933,4,1859.0,1859.0,0.0
bnc__PS1BL,bnc,English,9425,1468,5,1385.0,1385.0,0.0
imsdb__barry_lyndon__roderick_v_o,imsdb,English,9062,2171,4,2115.0,2115.0,0.0
imsdb__four_feathers__durrance,imsdb,English,8476,1856,5,1796.0,1796.0,0.0
imsdb__days_of_heaven__bill,imsdb,English,8411,1954,4,1892.0,1892.0,0.0
imsdb__annie_hall__alvy,imsdb,English,8410,1686,4,1617.0,1617.0,0.0
clapi__m_le_pr_sident,clapi,French,2757857,17404,6,14132.0,14132.0,0.0
clapi__mme_la_pr_sidente,clapi,French,1666895,11380,6,9143.0,9143.0,0.0
clapi__m_christian_eckert,clapi,French,1203706,22011,6,18133.0,18133.0,0.0
clapi__m_charles_de_courson,clapi,French,1141531,21949,6,18184.0,18184.0,0.0
clapi__m_andr_chassaigne,clapi,French,1079080,26898,6,22785.0,22785.0,0.0
clapi__m_olivier_dussopt,clapi,French,905974,19061,6,15821.0,15821.0,0.0
clapi__m_g_rald_darmanin,clapi,French,834397,20675,6,17620.0,17620.0,0.0
clapi__m_gilles_carrez,clapi,French,792246,17764,6,14859.0,14859.0,0.0
clapi__m_fran_ois_de_rugy,clapi,French,736100,20701,6,17748.0,17748.0,0.0
clapi__m_ric_woerth,clapi,French,721522,18315,6,15608.0,15608.0,0.0
clapi__mme_emmanuelle_m_nard,clapi,French,709980,22233,6,19193.0,19193.0,0.0
clapi__m_bernard_cazeneuve,clapi,French,693114,17876,6,15135.0,15135.0,0.0
clapi__m_jean_pierre_brard,clapi,French,683727,24445,6,21654.0,21654.0,0.0
clapi__m_ugo_bernalicis,clapi,French,675389,20278,6,17525.0,17525.0,0.0
clapi__mme_marisol_touraine,clapi,French,664432,16773,6,14180.0,14180.0,0.0
dgd__pf_e_00027_se_01_t_01__s2,dgd,German,2392,638,5,623.0,623.0,0.0
dgd__pf_e_00093_se_01_t_01__s2,dgd,German,2266,601,4,584.0,584.0,0.0
