Language,k,f_k,Total tokens,Observed types S_obs,f_k / S_obs,f_k per 1000 observed types,Token mass k*f_k,k*f_k / total tokens
English,1,31360,6675363,81575,0.38443150475022986,384.43150475022986,31360,0.004697871861050852
English,2,10827,6675363,81575,0.13272448666870978,132.72448666870977,21654,0.003243868535688621
English,3,6037,6675363,81575,0.07400551639595464,74.00551639595464,18111,0.0027131108825093108
English,4,4178,6675363,81575,0.0512166717744407,51.2166717744407,16712,0.002503534264728375
English,5,3034,6675363,81575,0.03719276739197058,37.19276739197058,15170,0.0022725355909483875
English,6,2283,6675363,81575,0.027986515476555316,27.98651547655532,13698,0.002052023238286817
English,7,1891,6675363,81575,0.023181121667177444,23.181121667177443,13237,0.00198296332349267
English,8,1563,6675363,81575,0.01916028194912657,19.16028194912657,12504,0.0018731565609241025
English,9,1284,6675363,81575,0.015740116457247932,15.74011645724793,11556,0.0017311418120632542
English,10,1118,6675363,81575,0.013705179282868525,13.705179282868526,11180,0.0016748152871986137
English,11,980,6675363,81575,0.012013484523444683,12.013484523444683,10780,0.0016148934522362305
English,12,836,6675363,81575,0.010248237817958934,10.248237817958934,10032,0.0015028396208565736
English,13,771,6675363,81575,0.009451425068954949,9.451425068954949,10023,0.00150149137956992
English,14,707,6675363,81575,0.00866687097762795,8.66687097762795,9898,0.0014827658061441753
English,15,605,6675363,81575,0.007416487894575544,7.416487894575544,9075,0.0013594766307090716
English,16,592,6675363,81575,0.0072571253447747475,7.257125344774747,9472,0.001418949051909237
English,17,472,6675363,81575,0.005786086423536623,5.786086423536623,8024,0.0012020320093454094
English,18,464,6675363,81575,0.0056880171621207475,5.688017162120747,8352,0.0012511679140145638
English,19,427,6675363,81575,0.005234446828072326,5.234446828072326,8113,0.0012153646176245396
English,20,388,6675363,81575,0.0047563591786699356,4.7563591786699355,7760,0.0011624835982702365
English,21,340,6675363,81575,0.004167943610174686,4.167943610174686,7140,0.0010696047540785423
English,22,339,6675363,81575,0.004155684952497701,4.155684952497701,7458,0.0011172426128736369
English,23,301,6675363,81575,0.0036898559607722956,3.6898559607722956,6923,0.0010370971586114493
English,24,297,6675363,81575,0.003640821330064358,3.640821330064358,7128,0.0010678070990296708
English,25,274,6675363,81575,0.0033588722034937173,3.3588722034937173,6850,0.0010261614237308144
English,26,264,6675363,81575,0.0032362856267238735,3.2362856267238738,6864,0.0010282586879544978
English,27,259,6675363,81575,0.003174992338338952,3.174992338338952,6993,0.0010475834797298664
English,28,187,6675363,81575,0.0022923689855960773,2.2923689855960774,5236,0.0007843768196575977
English,29,223,6675363,81575,0.0027336806619675147,2.7336806619675147,6467,0.0009687862667543323
English,30,196,6675363,81575,0.0024026969046889364,2.4026969046889364,5880,0.0008808509739470348
English,31,209,6675363,81575,0.0025620594544897334,2.5620594544897335,6479,0.0009705839218032038
English,32,165,6675363,81575,0.0020226785167024213,2.0226785167024213,5280,0.0007909682215034599
English,33,176,6675363,81575,0.0021575237511492493,2.1575237511492493,5808,0.0008700650436538058
English,34,181,6675363,81575,0.002218817039534171,2.218817039534171,6154,0.0009218974308962673
English,35,161,6675363,81575,0.0019736438859944837,1.9736438859944836,5635,0.000844148850032575
English,36,150,6675363,81575,0.0018387986515476554,1.8387986515476555,5400,0.0008089447719921749
English,37,131,6675363,81575,0.0016058841556849525,1.6058841556849526,4847,0.0007261028351566799
English,38,125,6675363,81575,0.0015323322096230463,1.5323322096230463,4750,0.000711571790178302
English,39,152,6675363,81575,0.0018633159669016242,1.8633159669016244,5928,0.0008880415941425208
English,40,133,6675363,81575,0.0016304014710389213,1.6304014710389212,5320,0.0007969604049996982
English,41,130,6675363,81575,0.0015936254980079682,1.593625498007968,5330,0.0007984584508737578
English,42,134,6675363,81575,0.0016426601287159056,1.6426601287159055,5628,0.0008431002179207333
English,43,121,6675363,81575,0.0014832975789151087,1.4832975789151088,5203,0.000779433268273201
English,44,122,6675363,81575,0.0014955562365920932,1.4955562365920931,5368,0.0008041510251951842
English,45,90,6675363,81575,0.0011032791909285932,1.1032791909285933,4050,0.0006067085789941311
English,46,108,6675363,81575,0.001323935029114312,1.323935029114312,4968,0.0007442291902328009
English,47,96,6675363,81575,0.0011768311369904996,1.1768311369904996,4512,0.0006759182983756838
English,48,84,6675363,81575,0.001029727244866687,1.0297272448666872,4032,0.0006040120964208238
English,49,81,6675363,81575,0.000992951271835734,0.992951271835734,3969,0.0005945744074142484
English,50,101,6675363,81575,0.0012381244253754215,1.2381244253754213,5050,0.0007565131664000895
French,1,71965,160251286,208726,0.3447821545950193,344.78215459501934,71965,0.00044907595936546804
French,2,23787,160251286,208726,0.11396280290907697,113.96280290907697,47574,0.00029687125256517443
French,3,12889,160251286,208726,0.061750812069411576,61.75081206941157,38667,0.00024128979532806995
French,4,8784,160251286,208726,0.04208388030240603,42.08388030240602,35136,0.00021925565077836567
French,5,6488,160251286,208726,0.031083813228826307,31.08381322882631,32440,0.00020243207283840455
French,6,5166,160251286,208726,0.024750150915554364,24.750150915554364,30996,0.00019342122471329186
French,7,4126,160251286,208726,0.01976754213658097,19.76754213658097,28882,0.00018022944290131936
French,8,3373,160251286,208726,0.016159941741805045,16.159941741805046,26984,0.00016838554418839422
French,9,2907,160251286,208726,0.013927349731226585,13.927349731226585,26163,0.00016326234037210784
French,10,2503,160251286,208726,0.011991797859394613,11.991797859394612,25030,0.00015619219430164198
French,11,2329,160251286,208726,0.011158169082912527,11.158169082912526,25619,0.000159867671826359
French,12,2057,160251286,208726,0.009855025248411793,9.855025248411794,24684,0.00015403308526335322
French,13,1834,160251286,208726,0.008786638942920384,8.786638942920383,23842,0.00014877883725688168
French,14,1600,160251286,208726,0.007665551967651371,7.66555196765137,22400,0.0001397804695308342
French,15,1498,160251286,208726,0.007176873029713596,7.176873029713596,22470,0.00014021728349811806
French,16,1435,160251286,208726,0.006875041920987323,6.875041920987323,22960,0.00014327498126910507
French,17,1270,160251286,208726,0.006084531874323276,6.084531874323275,21590,0.00013472590790940674
French,18,1233,160251286,208726,0.005907265985071338,5.907265985071337,22194,0.00013849498842711315
French,19,1054,160251286,208726,0.00504968235869034,5.04968235869034,20026,0.00012496623584037884
French,20,986,160251286,208726,0.004723896400065157,4.723896400065157,19720,0.00012305673478339512
French,21,973,160251286,208726,0.00466161379032799,4.66161379032799,20433,0.00012750599705015783
French,22,961,160251286,208726,0.004604122150570604,4.604122150570604,21142,0.00013193029851879006
French,23,851,160251286,208726,0.004077115452794573,4.0771154527945725,19573,0.000122139425452099
French,24,762,160251286,208726,0.003650719124593965,3.6507191245939654,18288,0.00011412076905267393
French,25,781,160251286,208726,0.0037417475542098253,3.7417475542098253,19525,0.00012183989587453295
French,26,763,160251286,208726,0.0036555100945737475,3.6555100945737475,19838,0.00012379307832824507
French,27,688,160251286,208726,0.003296187346090089,3.2961873460900892,18576,0.00011591794651807038
French,28,693,160251286,208726,0.003320142195989,3.320142195989,19404,0.00012108483173108514
French,29,641,160251286,208726,0.0030710117570403304,3.0710117570403304,18589,0.00011599906911199453
French,30,612,160251286,208726,0.0029320736276266493,2.9320736276266492,18360,0.00011457006341902304
French,31,565,160251286,208726,0.00270689803857689,2.7068980385768904,17515,0.00010929709481395363
French,32,525,160251286,208726,0.002515259239385606,2.515259239385606,16800,0.00010483535214812566
French,33,532,160251286,208726,0.0025487960292440806,2.5487960292440808,17556,0.00010955294299479131
French,34,493,160251286,208726,0.0023619482000325786,2.3619482000325784,16762,0.00010459822456588586
French,35,474,160251286,208726,0.0022709197704167184,2.2709197704167186,16590,0.00010352491024627409
French,36,472,160251286,208726,0.0022613378304571544,2.2613378304571543,16992,0.00010603347045838996
French,37,460,160251286,208726,0.002203846190699769,2.2038461906997693,17020,0.0001062081960453035
French,38,428,160251286,208726,0.0020505351513467416,2.050535151346742,16264,0.00010149060519863785
French,39,392,160251286,208726,0.0018780602320745859,1.8780602320745858,15288,9.540017045479435e-05
French,40,405,160251286,208726,0.0019403428418117532,1.9403428418117532,16200,0.00010109123242854975
French,41,389,160251286,208726,0.0018636873221352394,1.8636873221352395,15949,9.952494234586049e-05
French,42,427,160251286,208726,0.0020457441813669596,2.0457441813669597,17934,0.00011191173841812415
French,43,387,160251286,208726,0.0018541053821756752,1.8541053821756752,16641,0.00010384316042243804
French,44,353,160251286,208726,0.0016912124028630837,1.6912124028630837,15532,9.692277914075523e-05
French,45,379,160251286,208726,0.0018157776223374183,1.8157776223374185,17055,0.00010642660302894542
French,46,321,160251286,208726,0.0015379013635100562,1.5379013635100562,14766,9.214278629876331e-05
French,47,352,160251286,208726,0.0016864214328833015,1.6864214328833016,16544,0.00010323786106777328
French,48,325,160251286,208726,0.0015570652434291846,1.5570652434291847,15600,9.734711270897383e-05
French,49,306,160251286,208726,0.0014660368138133247,1.4660368138133246,14994,9.356555179220216e-05
French,50,337,160251286,208726,0.00161455688318657,1.61455688318657,16850,0.000105147362124757
German,1,4453,68141,8024,0.5549601196410767,554.9601196410767,4453,0.06534978940725848
German,2,1334,68141,8024,0.16625124626121635,166.25124626121635,2668,0.039154106925345974
German,3,553,68141,8024,0.06891824526420738,68.91824526420737,1659,0.02434657548318927
German,4,350,68141,8024,0.04361914257228315,43.61914257228315,1400,0.020545633319147064
German,5,207,68141,8024,0.025797607178464608,25.797607178464606,1035,0.015189093203798007
German,6,152,68141,8024,0.018943170488534396,18.943170488534395,912,0.01338401256218723
German,7,125,68141,8024,0.01557826520438684,15.57826520438684,875,0.012841020824466915
German,8,97,68141,8024,0.012088733798604187,12.088733798604187,776,0.0113881510397558
German,9,70,68141,8024,0.00872382851445663,8.72382851445663,630,0.009245534993616179
German,10,51,68141,8024,0.006355932203389831,6.3559322033898304,510,0.007484480709117858
German,11,46,68141,8024,0.005732801595214357,5.732801595214357,506,0.007425778899634581
German,12,30,68141,8024,0.0037387836490528413,3.7387836490528414,360,0.005283162853494959
German,13,37,68141,8024,0.0046111665004985045,4.611166500498505,481,0.007058892590364098
German,14,29,68141,8024,0.003614157527417747,3.614157527417747,406,0.0059582336625526484
German,15,26,68141,8024,0.0032402791625124627,3.2402791625124627,390,0.0057234264246195385
German,16,18,68141,8024,0.002243270189431705,2.243270189431705,288,0.004226530282795967
German,17,17,68141,8024,0.00211864406779661,2.1186440677966103,289,0.0042412057351667865
German,18,14,68141,8024,0.001744765702891326,1.744765702891326,252,0.0036982139974464714
German,19,19,68141,8024,0.0023678963110667995,2.3678963110667994,361,0.005297838305865778
German,20,11,68141,8024,0.0013708873379860418,1.3708873379860418,220,0.003228599521580253
German,21,9,68141,8024,0.0011216350947158525,1.1216350947158524,189,0.0027736604980848536
German,22,15,68141,8024,0.0018693918245264206,1.8693918245264207,330,0.004842899282370379
German,23,13,68141,8024,0.0016201395812562313,1.6201395812562314,299,0.004387960258874979
German,24,18,68141,8024,0.002243270189431705,2.243270189431705,432,0.00633979542419395
German,25,15,68141,8024,0.0018693918245264206,1.8693918245264207,375,0.005503294639057249
German,26,13,68141,8024,0.0016201395812562313,1.6201395812562314,338,0.004960302901336934
German,27,13,68141,8024,0.0016201395812562313,1.6201395812562314,351,0.005151083782157585
German,28,5,68141,8024,0.0006231306081754736,0.6231306081754736,140,0.0020545633319147064
German,29,13,68141,8024,0.0016201395812562313,1.6201395812562314,377,0.005532645543798888
German,30,8,68141,8024,0.0009970089730807576,0.9970089730807578,240,0.0035221085689966392
German,31,8,68141,8024,0.0009970089730807576,0.9970089730807578,248,0.0036395121879631937
German,32,8,68141,8024,0.0009970089730807576,0.9970089730807578,256,0.0037569158069297487
German,33,6,68141,8024,0.0007477567298105683,0.7477567298105683,198,0.0029057395694222273
German,34,8,68141,8024,0.0009970089730807576,0.9970089730807578,272,0.003991723044862858
German,35,7,68141,8024,0.000872382851445663,0.872382851445663,245,0.003595485830850736
German,36,4,68141,8024,0.0004985044865403788,0.4985044865403789,144,0.0021132651413979836
German,37,7,68141,8024,0.000872382851445663,0.872382851445663,259,0.0038009421640422068
German,38,6,68141,8024,0.0007477567298105683,0.7477567298105683,228,0.0033460031405468074
German,39,1,68141,8024,0.0001246261216350947,0.12462612163509472,39,0.0005723426424619539
German,40,4,68141,8024,0.0004985044865403788,0.4985044865403789,160,0.0023480723793310927
German,41,5,68141,8024,0.0006231306081754736,0.6231306081754736,205,0.0030084677360179626
German,42,3,68141,8024,0.00037387836490528417,0.37387836490528414,126,0.0018491069987232357
German,43,5,68141,8024,0.0006231306081754736,0.6231306081754736,215,0.003155222259726156
German,44,3,68141,8024,0.00037387836490528417,0.37387836490528414,132,0.0019371597129481516
German,45,3,68141,8024,0.00037387836490528417,0.37387836490528414,135,0.0019811860700606095
German,46,2,68141,8024,0.0002492522432701894,0.24925224327018944,92,0.0013501416181153783
German,47,2,68141,8024,0.0002492522432701894,0.24925224327018944,94,0.001379492522857017
German,48,3,68141,8024,0.00037387836490528417,0.37387836490528414,144,0.0021132651413979836
German,49,2,68141,8024,0.0002492522432701894,0.24925224327018944,98,0.0014381943323402945
German,50,1,68141,8024,0.0001246261216350947,0.12462612163509472,50,0.0007337726185409665
