k,English f_k,English f_k per 1000 types,English token share,French f_k,French f_k per 1000 types,French token share,German f_k,German f_k per 1000 types,German token share
1,31360,384.43150475022986,0.004697871861050852,71965,344.78215459501934,0.00044907595936546804,4453,554.9601196410767,0.06534978940725848
2,10827,132.72448666870977,0.003243868535688621,23787,113.96280290907697,0.00029687125256517443,1334,166.25124626121635,0.039154106925345974
3,6037,74.00551639595464,0.0027131108825093108,12889,61.75081206941157,0.00024128979532806995,553,68.91824526420737,0.02434657548318927
4,4178,51.2166717744407,0.002503534264728375,8784,42.08388030240602,0.00021925565077836567,350,43.61914257228315,0.020545633319147064
5,3034,37.19276739197058,0.0022725355909483875,6488,31.08381322882631,0.00020243207283840455,207,25.797607178464606,0.015189093203798007
6,2283,27.98651547655532,0.002052023238286817,5166,24.750150915554364,0.00019342122471329186,152,18.943170488534395,0.01338401256218723
7,1891,23.181121667177443,0.00198296332349267,4126,19.76754213658097,0.00018022944290131936,125,15.57826520438684,0.012841020824466915
8,1563,19.16028194912657,0.0018731565609241025,3373,16.159941741805046,0.00016838554418839422,97,12.088733798604187,0.0113881510397558
9,1284,15.74011645724793,0.0017311418120632542,2907,13.927349731226585,0.00016326234037210784,70,8.72382851445663,0.009245534993616179
10,1118,13.705179282868526,0.0016748152871986137,2503,11.991797859394612,0.00015619219430164198,51,6.3559322033898304,0.007484480709117858
11,980,12.013484523444683,0.0016148934522362305,2329,11.158169082912526,0.000159867671826359,46,5.732801595214357,0.007425778899634581
12,836,10.248237817958934,0.0015028396208565736,2057,9.855025248411794,0.00015403308526335322,30,3.7387836490528414,0.005283162853494959
13,771,9.451425068954949,0.00150149137956992,1834,8.786638942920383,0.00014877883725688168,37,4.611166500498505,0.007058892590364098
14,707,8.66687097762795,0.0014827658061441753,1600,7.66555196765137,0.0001397804695308342,29,3.614157527417747,0.0059582336625526484
15,605,7.416487894575544,0.0013594766307090716,1498,7.176873029713596,0.00014021728349811806,26,3.2402791625124627,0.0057234264246195385
16,592,7.257125344774747,0.001418949051909237,1435,6.875041920987323,0.00014327498126910507,18,2.243270189431705,0.004226530282795967
17,472,5.786086423536623,0.0012020320093454094,1270,6.084531874323275,0.00013472590790940674,17,2.1186440677966103,0.0042412057351667865
18,464,5.688017162120747,0.0012511679140145638,1233,5.907265985071337,0.00013849498842711315,14,1.744765702891326,0.0036982139974464714
19,427,5.234446828072326,0.0012153646176245396,1054,5.04968235869034,0.00012496623584037884,19,2.3678963110667994,0.005297838305865778
20,388,4.7563591786699355,0.0011624835982702365,986,4.723896400065157,0.00012305673478339512,11,1.3708873379860418,0.003228599521580253
21,340,4.167943610174686,0.0010696047540785423,973,4.66161379032799,0.00012750599705015783,9,1.1216350947158524,0.0027736604980848536
22,339,4.155684952497701,0.0011172426128736369,961,4.604122150570604,0.00013193029851879006,15,1.8693918245264207,0.004842899282370379
23,301,3.6898559607722956,0.0010370971586114493,851,4.0771154527945725,0.000122139425452099,13,1.6201395812562314,0.004387960258874979
24,297,3.640821330064358,0.0010678070990296708,762,3.6507191245939654,0.00011412076905267393,18,2.243270189431705,0.00633979542419395
25,274,3.3588722034937173,0.0010261614237308144,781,3.7417475542098253,0.00012183989587453295,15,1.8693918245264207,0.005503294639057249
26,264,3.2362856267238738,0.0010282586879544978,763,3.6555100945737475,0.00012379307832824507,13,1.6201395812562314,0.004960302901336934
27,259,3.174992338338952,0.0010475834797298664,688,3.2961873460900892,0.00011591794651807038,13,1.6201395812562314,0.005151083782157585
28,187,2.2923689855960774,0.0007843768196575977,693,3.320142195989,0.00012108483173108514,5,0.6231306081754736,0.0020545633319147064
29,223,2.7336806619675147,0.0009687862667543323,641,3.0710117570403304,0.00011599906911199453,13,1.6201395812562314,0.005532645543798888
30,196,2.4026969046889364,0.0008808509739470348,612,2.9320736276266492,0.00011457006341902304,8,0.9970089730807578,0.0035221085689966392
31,209,2.5620594544897335,0.0009705839218032038,565,2.7068980385768904,0.00010929709481395363,8,0.9970089730807578,0.0036395121879631937
32,165,2.0226785167024213,0.0007909682215034599,525,2.515259239385606,0.00010483535214812566,8,0.9970089730807578,0.0037569158069297487
33,176,2.1575237511492493,0.0008700650436538058,532,2.5487960292440808,0.00010955294299479131,6,0.7477567298105683,0.0029057395694222273
34,181,2.218817039534171,0.0009218974308962673,493,2.3619482000325784,0.00010459822456588586,8,0.9970089730807578,0.003991723044862858
35,161,1.9736438859944836,0.000844148850032575,474,2.2709197704167186,0.00010352491024627409,7,0.872382851445663,0.003595485830850736
36,150,1.8387986515476555,0.0008089447719921749,472,2.2613378304571543,0.00010603347045838996,4,0.4985044865403789,0.0021132651413979836
37,131,1.6058841556849526,0.0007261028351566799,460,2.2038461906997693,0.0001062081960453035,7,0.872382851445663,0.0038009421640422068
38,125,1.5323322096230463,0.000711571790178302,428,2.050535151346742,0.00010149060519863785,6,0.7477567298105683,0.0033460031405468074
39,152,1.8633159669016244,0.0008880415941425208,392,1.8780602320745858,9.540017045479435e-05,1,0.12462612163509472,0.0005723426424619539
40,133,1.6304014710389212,0.0007969604049996982,405,1.9403428418117532,0.00010109123242854975,4,0.4985044865403789,0.0023480723793310927
41,130,1.593625498007968,0.0007984584508737578,389,1.8636873221352395,9.952494234586049e-05,5,0.6231306081754736,0.0030084677360179626
