Language,Estimator,Mean S_hat,Median S_hat,IQR S_hat,Mean f0_hat,Median S_hat/S_obs,Failed / undefined
English,Chao1,1015.4,885.9,546.6,584.8,2.3519,0
English,iChao1,1111.7,968.4,595.0,681.1,2.5719,0
English,ACE,1771.5,1523.0,994.7,1340.2,4.094,10
English,Jackknife1,694.8,585.6,378.7,264.2,1.6352,0
English,Jackknife2,901.2,764.7,486.2,470.5,2.1257,2
English,Breakaway,3320.0,1927.2,1880.0,2909.7,5.2128,2764
French,Chao1,2721.7,1377.2,1968.9,1237.3,2.1066,0
French,iChao1,2960.7,1507.5,2155.8,1476.3,2.3069,0
French,ACE,4990.2,2443.5,3514.4,3505.7,3.8163,0
French,Jackknife1,2155.6,928.8,1400.0,671.1,1.5676,0
French,Jackknife2,2677.4,1200.7,1806.1,1194.9,2.0035,0
French,Breakaway,22309.1,3249.9,7208.9,20940.8,4.9321,5516
German,Chao1,1163.3,1269.4,406.5,658.2,2.2451,0
German,iChao1,1269.6,1359.3,438.1,764.5,2.4446,0
German,ACE,2075.6,2188.3,811.5,1570.5,4.0295,0
German,Jackknife1,808.8,855.8,227.5,303.7,1.6027,0
German,Jackknife2,1045.6,1111.3,312.8,540.5,2.0642,0
German,Breakaway,5746.8,2500.3,2619.9,5275.6,5.2887,20
