Dataset,Tokens n,Observed types,f1,f2,Coverage,Estimator,f0_hat,S_hat,S_hat / S_obs
shakespeare__a_midsummer_nights_dream,16385,2974,1677,467,0.8977,Chao1,2887.6,5861.6,1.971
shakespeare__a_midsummer_nights_dream,16385,2974,1677,467,0.8977,iChao1,3397.8,6371.8,2.1425
shakespeare__a_midsummer_nights_dream,16385,2974,1677,467,0.8977,ACE,7787.2,10761.2,3.6184
shakespeare__a_midsummer_nights_dream,16385,2974,1677,467,0.8977,Jackknife1,1553.8,4527.8,1.5224
shakespeare__a_midsummer_nights_dream,16385,2974,1677,467,0.8977,Jackknife2,2763.5,5737.5,1.9292
shakespeare__a_midsummer_nights_dream,16385,2974,1677,467,0.8977,Breakaway,,,
shakespeare__alls_well_that_ends_well,22852,3477,1995,501,0.9127,Chao1,3811.6,7288.6,2.0962
shakespeare__alls_well_that_ends_well,22852,3477,1995,501,0.9127,iChao1,4546.8,8023.8,2.3077
shakespeare__alls_well_that_ends_well,22852,3477,1995,501,0.9127,ACE,9452.9,12929.9,3.7187
shakespeare__alls_well_that_ends_well,22852,3477,1995,501,0.9127,Jackknife1,1834.8,5311.8,1.5277
shakespeare__alls_well_that_ends_well,22852,3477,1995,501,0.9127,Jackknife2,3328.5,6805.5,1.9573
shakespeare__alls_well_that_ends_well,22852,3477,1995,501,0.9127,Breakaway,,,
shakespeare__antony_and_cleopatra,24147,3882,2268,577,0.9061,Chao1,4289.9,8171.9,2.1051
shakespeare__antony_and_cleopatra,24147,3882,2268,577,0.9061,iChao1,5100.5,8982.5,2.3139
shakespeare__antony_and_cleopatra,24147,3882,2268,577,0.9061,ACE,10997.4,14879.4,3.8329
shakespeare__antony_and_cleopatra,24147,3882,2268,577,0.9061,Jackknife1,2100.7,5982.7,1.5412
shakespeare__antony_and_cleopatra,24147,3882,2268,577,0.9061,Jackknife2,3791.4,7673.4,1.9767
shakespeare__antony_and_cleopatra,24147,3882,2268,577,0.9061,Breakaway,,,
shakespeare__as_you_like_it,21554,3229,1785,495,0.9172,Chao1,3068.0,6297.0,1.9501
shakespeare__as_you_like_it,21554,3229,1785,495,0.9172,iChao1,3686.6,6915.6,2.1417
shakespeare__as_you_like_it,21554,3229,1785,495,0.9172,ACE,8081.2,11310.2,3.5027
shakespeare__as_you_like_it,21554,3229,1785,495,0.9172,Jackknife1,1634.8,4863.8,1.5063
shakespeare__as_you_like_it,21554,3229,1785,495,0.9172,Jackknife2,2924.5,6153.5,1.9057
shakespeare__as_you_like_it,21554,3229,1785,495,0.9172,Breakaway,,,
shakespeare__coriolanus,27183,3977,2272,593,0.9164,Chao1,4170.0,8147.0,2.0485
shakespeare__coriolanus,27183,3977,2272,593,0.9164,iChao1,4965.2,8942.2,2.2485
shakespeare__coriolanus,27183,3977,2272,593,0.9164,ACE,11022.9,14999.9,3.7717
shakespeare__coriolanus,27183,3977,2272,593,0.9164,Jackknife1,2089.8,6066.8,1.5255
shakespeare__coriolanus,27183,3977,2272,593,0.9164,Jackknife2,3768.5,7745.5,1.9476
shakespeare__coriolanus,27183,3977,2272,593,0.9164,Breakaway,,,
shakespeare__cymbeline,27374,4206,2343,669,0.9144,Chao1,3925.5,8131.5,1.9333
shakespeare__cymbeline,27374,4206,2343,669,0.9144,iChao1,4683.4,8889.4,2.1135
shakespeare__cymbeline,27374,4206,2343,669,0.9144,ACE,10920.5,15126.5,3.5964
shakespeare__cymbeline,27374,4206,2343,669,0.9144,Jackknife1,2165.8,6371.8,1.5149
shakespeare__cymbeline,27374,4206,2343,669,0.9144,Jackknife2,3839.5,8045.5,1.9129
shakespeare__cymbeline,27374,4206,2343,669,0.9144,Breakaway,853307.6,857513.6,203.8787
shakespeare__hamlet,30095,4668,2768,704,0.908,Chao1,5255.1,9923.1,2.1258
shakespeare__hamlet,30095,4668,2768,704,0.908,iChao1,6158.8,10826.8,2.3194
shakespeare__hamlet,30095,4668,2768,704,0.908,ACE,13045.6,17713.6,3.7947
shakespeare__hamlet,30095,4668,2768,704,0.908,Jackknife1,2581.7,7249.7,1.5531
shakespeare__hamlet,30095,4668,2768,704,0.908,Jackknife2,4645.4,9313.4,1.9952
shakespeare__hamlet,30095,4668,2768,704,0.908,Breakaway,,,
shakespeare__henry_iv_part_1,24350,3809,2150,585,0.9117,Chao1,3791.4,7600.4,1.9954
shakespeare__henry_iv_part_1,24350,3809,2150,585,0.9117,iChao1,4463.3,8272.3,2.1718
shakespeare__henry_iv_part_1,24350,3809,2150,585,0.9117,ACE,10201.9,14010.9,3.6784
shakespeare__henry_iv_part_1,24350,3809,2150,585,0.9117,Jackknife1,1990.8,5799.8,1.5226
shakespeare__henry_iv_part_1,24350,3809,2150,585,0.9117,Jackknife2,3555.5,7364.5,1.9334
shakespeare__henry_iv_part_1,24350,3809,2150,585,0.9117,Breakaway,99223.5,103032.5,27.0498
shakespeare__henry_iv_part_2,25791,4043,2303,622,0.9107,Chao1,4089.1,8132.1,2.0114
shakespeare__henry_iv_part_2,25791,4043,2303,622,0.9107,iChao1,4877.0,8920.0,2.2063
shakespeare__henry_iv_part_2,25791,4043,2303,622,0.9107,ACE,10916.4,14959.4,3.7001
shakespeare__henry_iv_part_2,25791,4043,2303,622,0.9107,Jackknife1,2128.8,6171.8,1.5265
shakespeare__henry_iv_part_2,25791,4043,2303,622,0.9107,Jackknife2,3809.5,7852.5,1.9422
shakespeare__henry_iv_part_2,25791,4043,2303,622,0.9107,Breakaway,,,
shakespeare__henry_v,25718,4460,2528,736,0.9017,Chao1,4190.2,8650.2,1.9395
shakespeare__henry_v,25718,4460,2528,736,0.9017,iChao1,5074.6,9534.6,2.1378
shakespeare__henry_v,25718,4460,2528,736,0.9017,ACE,11581.8,16041.8,3.5968
shakespeare__henry_v,25718,4460,2528,736,0.9017,Jackknife1,2376.8,6836.8,1.5329
shakespeare__henry_v,25718,4460,2528,736,0.9017,Jackknife2,4168.5,8628.5,1.9346
shakespeare__henry_v,25718,4460,2528,736,0.9017,Breakaway,23217.0,27677.0,6.2056
shakespeare__henry_vi_part_1,21304,3825,2125,620,0.9003,Chao1,3504.2,7329.2,1.9161
shakespeare__henry_vi_part_1,21304,3825,2125,620,0.9003,iChao1,4159.3,7984.3,2.0874
shakespeare__henry_vi_part_1,21304,3825,2125,620,0.9003,ACE,9590.0,13415.0,3.5072
shakespeare__henry_vi_part_1,21304,3825,2125,620,0.9003,Jackknife1,1987.8,5812.8,1.5197
shakespeare__henry_vi_part_1,21304,3825,2125,620,0.9003,Jackknife2,3492.5,7317.5,1.9131
shakespeare__henry_vi_part_1,21304,3825,2125,620,0.9003,Breakaway,,,
shakespeare__henry_vi_part_2,25408,4076,2239,659,0.9119,Chao1,3633.2,7709.2,1.8914
shakespeare__henry_vi_part_2,25408,4076,2239,659,0.9119,iChao1,4355.4,8431.4,2.0685
